"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
sc_mouse_ps_3_1,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_fs_3_1,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_ss_3_1,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_as_3_1,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_ts_3_1,score_and_weights_sw,,calc,,"sum([sc_mouse_ws_3_1],[sc_mouse_ps_3_1],[sc_mouse_fs_3_1],[sc_mouse_ss_3_1],[sc_mouse_as_3_1])",,,,,,,,,,,,
sc_mouse_iw_3_2,score_and_weights_sw,,text,,,,number,,,,,,,,,," @DEFAULT=""[sc_mouse_iw_3_2][first-instance]"""
sc_mouse_weight_3_2,score_and_weights_sw,,text,,,,number,,,,,,,,,,
sc_mouse_iwcent_3_2,score_and_weights_sw,,calc,,"round(((([sc_mouse_weight_3_2])/([sc_mouse_iw_3_2]))*100), 2)",,,,,,,,,,,,
sc_mouse_ws_3_2,score_and_weights_sw,,calc,,"if([sc_mouse_iwcent_3_2] < 75 , 2, if([sc_mouse_iwcent_3_2] < 90, 1, """"))",,,,,,,,,,,,
sc_mouse_ps_3_2,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_fs_3_2,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_ss_3_2,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_as_3_2,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_ts_3_2,score_and_weights_sw,,calc,,"sum([sc_mouse_ws_3_2],[sc_mouse_ps_3_2],[sc_mouse_fs_3_2],[sc_mouse_ss_3_2],[sc_mouse_as_3_2])",,,,,,,,,,,,
sc_mouse_iw_3_3,score_and_weights_sw,,text,,,,number,,,,,,,,,," @DEFAULT=""[sc_mouse_iw_3_3][first-instance]"""
sc_mouse_weight_3_3,score_and_weights_sw,,text,,,,number,,,,,,,,,,
sc_mouse_iwcent_3_3,score_and_weights_sw,,calc,,"round(((([sc_mouse_weight_3_3])/([sc_mouse_iw_3_3]))*100), 2)",,,,,,,,,,,,
